"id","studentId","taskLibraryId","correct","mistakes","totalAnswers","answerRate","date"
118,2259,17,"27.00",3,30,"12.2","2025-12-15"
119,858,11,"39.00",2,40,"4.1","2025-12-15"
120,1934,11,"81.00",4,85,"17","2025-12-15"
121,2341,6,"4.00",0,4,"22","2025-12-15"
122,2259,18,"19.00",1,20,"14.7","2025-12-15"
123,3340,40,"58.00",2,60,"3.4","2025-12-15"
124,853,6,"52.00",1,53,"13.1","2025-12-15"
125,858,1,"138.00",3,141,"14.1","2025-12-15"
126,2296,18,"40.00",0,40,"15.1","2025-12-15"
127,2292,41,"61.00",0,61,"11.3","2025-12-15"
128,2259,42,"19.00",1,20,"18.1","2025-12-15"
129,2259,6,"40.00",0,40,"32.8","2025-12-15"
130,2257,17,"29.00",1,30,"5.2","2025-12-15"
131,2259,43,"36.00",5,40,"13.7","2025-12-15"
132,2257,18,"19.00",1,20,"7.7","2025-12-15"
133,2317,19,"19.00",1,20,"2.6","2025-12-15"
134,3307,6,"98.00",2,100,"4.1","2025-12-15"
135,857,36,"1.00",0,1,"0.6","2025-12-15"
136,856,44,"1.00",0,1,"1.2","2025-12-15"
137,1998,45,"10.00",0,10,"2.8","2025-12-15"
138,858,46,"20.00",0,20,"2.5","2025-12-15"
139,833,11,"40.00",0,40,"2.9","2025-12-15"
140,856,11,"19.00",1,20,"7.1","2025-12-15"
141,930,5,"19.00",1,20,"1.9","2025-12-15"
142,395,47,"56.00",4,60,"4.3","2025-12-15"
143,2369,19,"15.00",5,20,"1.3","2025-12-15"
144,1800,11,"108.00",3,111,"22.2","2025-12-15"
145,2301,17,"29.00",1,30,"5.5","2025-12-15"
146,2287,18,"18.00",2,20,"2.3","2025-12-15"
147,2301,18,"17.00",3,20,"4.3","2025-12-15"
148,3342,48,"18.00",2,20,"4.9","2025-12-15"
149,858,27,"4.00",0,4,"1.7","2025-12-15"
150,2287,17,"28.00",2,30,"5.7","2025-12-15"
151,1891,11,"109.00",4,113,"22.6","2025-12-15"
152,395,49,"19.00",1,20,"2.6","2025-12-15"
153,1891,1,"214.00",6,220,"25.5","2025-12-15"
154,369,5,"15.00",10,20,"0.9","2025-12-15"
155,850,36,"1.00",6,2,"0.7","2025-12-15"
156,926,5,"19.00",1,20,"1","2025-12-15"
157,847,1,"49.00",1,50,"10","2025-12-15"
158,395,50,"17.00",10,20,"2.3","2025-12-15"
159,1681,33,"97.00",3,100,"11.2","2025-12-15"
160,2371,19,"17.00",3,20,"3.4","2025-12-15"
161,1500,51,"29.00",1,30,"6.7","2025-12-15"
162,2371,6,"20.00",0,20,"30.8","2025-12-15"
163,2326,19,"18.00",3,20,"2","2025-12-15"
164,2371,14,"26.00",7,30,"3.5","2025-12-15"
165,2367,19,"18.00",2,20,"1.6","2025-12-15"
166,1681,14,"8.00",3,10,"2.4","2025-12-15"
167,3339,52,"20.00",0,20,"6.3","2025-12-15"
168,1918,11,"44.00",1,45,"9","2025-12-15"
169,1681,53,"38.00",2,40,"10.4","2025-12-15"
170,2371,54,"15.00",0,15,"3","2025-12-15"
171,837,29,"19.00",1,20,"7.4","2025-12-15"
172,837,27,"4.00",0,4,"1.5","2025-12-15"
173,1971,11,"107.00",1,108,"21.6","2025-12-15"
174,2285,17,"30.00",0,30,"4","2025-12-15"
175,2371,55,"15.00",0,15,"3.2","2025-12-15"
176,2285,18,"19.00",1,20,"4.4","2025-12-15"
177,2346,19,"18.00",2,20,"1.9","2025-12-15"
178,2344,19,"19.00",1,20,"0.8","2025-12-15"
179,3344,17,"28.00",2,30,"2.7","2025-12-15"
180,2328,19,"20.00",0,20,"2.5","2025-12-15"
181,2470,57,"20.00",0,20,"10","2025-12-16"
182,1187,59,"20.00",0,20,"20.3","2025-12-16"
183,1175,6,"19.00",1,20,"12.9","2025-12-16"
184,1187,51,"117.00",3,120,"14.3","2025-12-16"
185,1175,51,"20.00",0,20,"7.8","2025-12-16"
186,436,5,"14.00",0,14,"2.8","2025-12-16"
187,1175,33,"20.00",0,20,"9","2025-12-16"
188,1272,9,"2.50",10,5,"1.3","2025-12-16"
189,369,5,"5.00",3,6,"1.2","2025-12-16"
190,1272,11,"20.00",0,20,"25","2025-12-16"
191,1272,61,"3.75",5,5,"1.9","2025-12-16"
192,436,60,"15.00",0,15,"14.5","2025-12-16"
193,369,60,"15.00",0,15,"17","2025-12-16"
194,930,5,"15.00",0,15,"3","2025-12-16"
195,369,6,"1.00",0,1,"20","2025-12-16"
196,1162,9,"2.50",69,10,"1.6","2025-12-16"
197,1175,63,"20.00",25,29,"4","2025-12-16"
198,1272,64,"31.00",1,32,"11.9","2025-12-16"
199,930,60,"15.00",0,15,"19.1","2025-12-16"
200,1187,9,"10.75",18,14,"0.9","2025-12-16"
201,1187,63,"1.00",3,3,"5.2","2025-12-16"
202,369,62,"6.00",1,7,"1.4","2025-12-16"
203,436,62,"9.00",10,14,"1.4","2025-12-16"
204,930,62,"7.00",1,8,"1.6","2025-12-16"
205,1187,66,"0.75",44,4,"0.5","2025-12-16"
206,930,65,"15.00",0,15,"11.7","2025-12-16"
207,1174,55,"14.00",7,15,"1.2","2025-12-16"
208,436,65,"15.00",0,15,"8.4","2025-12-16"
209,556,5,"18.00",3,20,"1.3","2025-12-16"
210,369,65,"15.00",0,15,"5.3","2025-12-16"
211,912,6,"20.00",0,20,"20.7","2025-12-16"
212,436,67,"137.00",3,140,"28","2025-12-16"
213,930,67,"117.00",0,117,"23.4","2025-12-16"
214,2029,58,"143.00",4,147,"10.8","2025-12-16"
215,2050,23,"20.00",0,20,"6.2","2025-12-16"
216,850,2,"90.00",6,94,"9.4","2025-12-16"
217,850,6,"850.00",4,854,"20","2025-12-16"
218,3050,9,"1.00",0,1,"0.3","2025-12-16"
219,844,2,"32.00",2,34,"6.8","2025-12-16"
220,927,5,"17.00",5,20,"1.1","2025-12-16"
221,927,67,"99.00",0,99,"19.8","2025-12-16"
222,2322,17,"22.00",1,23,"7.7","2025-12-16"
223,2281,17,"25.00",1,26,"8.7","2025-12-16"
224,2281,56,"20.00",0,20,"14.3","2025-12-16"
225,3350,68,"20.00",0,20,"10.5","2025-12-16"
226,2322,56,"19.00",1,20,"5.9","2025-12-16"
227,370,67,"128.00",1,129,"25.8","2025-12-16"
228,2322,38,"19.00",1,20,"7.7","2025-12-16"
229,2004,58,"59.00",1,60,"9.6","2025-12-16"
230,2798,9,"1.00",0,1,"0.3","2025-12-16"
231,2849,9,"1.50",2,2,"0.9","2025-12-16"
232,851,2,"34.00",0,34,"6.8","2025-12-16"
233,2004,43,"19.00",1,20,"8.3","2025-12-16"
234,1681,39,"36.00",1,37,"16.9","2025-12-16"
235,2294,17,"82.00",10,89,"9.6","2025-12-16"
236,2294,18,"19.00",2,20,"9.4","2025-12-16"
237,837,20,"76.00",4,80,"13.6","2025-12-16"
238,2004,69,"58.00",3,60,"10","2025-12-16"
239,838,2,"84.00",2,86,"17.2","2025-12-16"
240,2004,70,"19.00",1,20,"15.8","2025-12-16"
241,2294,56,"16.00",6,20,"5.5","2025-12-16"
242,2371,71,"12.00",3,15,"1.8","2025-12-16"
243,2004,57,"19.00",1,20,"14.1","2025-12-16"
244,1896,6,"2.00",0,2,"17.4","2025-12-16"
245,837,2,"39.00",0,39,"7.8","2025-12-16"
246,2888,6,"39.00",1,40,"6.9","2025-12-16"
247,842,2,"198.00",4,202,"20.2","2025-12-16"
248,2888,20,"19.00",1,20,"4.5","2025-12-16"
249,2199,58,"59.00",1,60,"8.1","2025-12-16"
250,838,33,"20.00",0,20,"16.4","2025-12-16"
251,847,6,"157.00",7,163,"13","2025-12-16"
252,855,2,"65.00",3,67,"13.4","2025-12-16"
253,837,32,"16.00",4,20,"3.7","2025-12-16"
254,3347,6,"10.00",0,10,"1.4","2025-12-16"
255,2867,29,"19.00",1,20,"4.3","2025-12-16"
256,847,64,"9.00",0,9,"4.9","2025-12-16"
257,837,28,"5.50",2,6,"0.8","2025-12-16"
258,2867,44,"1.00",0,1,"1.6","2025-12-16"
259,2867,27,"4.00",0,4,"6","2025-12-16"
260,512,33,"78.00",2,80,"16","2025-12-16"
261,855,72,"45.00",3,48,"11.3","2025-12-16"
262,843,6,"168.00",4,172,"10.9","2025-12-16"
263,837,22,"20.00",0,20,"6.8","2025-12-16"
264,2470,70,"10.00",0,10,"2.2","2025-12-16"
265,436,73,"2.50",2,3,"0.7","2025-12-16"
266,839,2,"54.00",2,55,"11","2025-12-16"
267,2028,58,"58.00",3,60,"7.4","2025-12-16"
268,3062,9,"0.75",1,1,"0.3","2025-12-16"
269,2818,9,"0.75",1,1,"0.1","2025-12-16"
270,915,6,"20.00",0,20,"17.9","2025-12-16"
271,3334,17,"54.00",16,60,"2.9","2025-12-16"
272,930,74,"4.00",1,5,"1.5","2025-12-16"
273,854,2,"75.00",1,76,"15.2","2025-12-16"
274,843,75,"31.00",0,31,"5.9","2025-12-16"
275,2292,41,"357.00",2,359,"18","2025-12-16"
276,2371,73,"0.00",31,3,"0.9","2025-12-16"
277,481,6,"20.00",0,20,"26.6","2025-12-16"
278,838,75,"199.00",1,200,"13.3","2025-12-16"
279,2889,22,"20.00",0,20,"14.1","2025-12-16"
280,2371,54,"26.00",5,30,"3.5","2025-12-16"
281,852,1,"84.00",2,86,"8.6","2025-12-16"
282,844,4,"48.00",16,60,"4.8","2025-12-16"
283,2327,19,"18.00",2,20,"1.5","2025-12-16"
284,2889,29,"18.00",3,20,"8.4","2025-12-16"
285,915,76,"403.00",45,410,"11","2025-12-16"
286,844,32,"19.00",1,20,"4.2","2025-12-16"
287,481,5,"19.00",1,20,"1.7","2025-12-16"
288,481,67,"112.00",2,114,"22.8","2025-12-16"
289,2263,56,"19.00",1,20,"12.2","2025-12-16"
290,852,2,"36.00",2,38,"7.6","2025-12-16"
291,2371,77,"14.00",1,15,"1.6","2025-12-16"
292,2263,17,"35.00",3,37,"12.3","2025-12-16"
293,2371,66,"0.00",9,1,"0.3","2025-12-16"
294,844,34,"20.00",0,20,"1.8","2025-12-16"
295,845,2,"23.00",1,24,"4.8","2025-12-16"
296,2371,78,"109.00",10,115,"12.1","2025-12-16"
297,842,6,"303.00",2,305,"30.5","2025-12-16"
298,2795,9,"1.00",0,1,"0.1","2025-12-16"
299,858,2,"168.00",4,172,"11.7","2025-12-16"
300,2308,17,"19.00",1,20,"6.7","2025-12-16"
301,2051,58,"60.00",0,60,"12.4","2025-12-16"
302,2371,55,"15.00",0,15,"2.4","2025-12-16"
303,2308,56,"19.00",1,20,"8.6","2025-12-16"
304,2300,17,"17.00",0,17,"5.7","2025-12-16"
305,2300,56,"18.00",2,20,"8.6","2025-12-16"
306,839,24,"17.00",0,17,"2.2","2025-12-16"
307,2840,9,"0.75",1,1,"0","2025-12-16"
308,3307,75,"233.00",7,240,"5.8","2025-12-16"
309,1890,1,"20.00",0,20,"9.1","2025-12-16"
310,3344,79,"28.00",3,30,"3.3","2025-12-16"
311,1890,11,"30.00",0,30,"5.6","2025-12-16"
312,2049,33,"19.00",1,20,"16.4","2025-12-16"
313,480,67,"212.00",2,214,"21.4","2025-12-16"
314,2371,80,"15.00",0,15,"2.9","2025-12-16"
315,846,2,"44.00",3,47,"9.4","2025-12-16"
316,1890,32,"18.00",2,20,"3.1","2025-12-16"
317,2809,9,"1.00",0,1,"0.1","2025-12-16"
318,3355,81,"47.00",11,58,"3.8","2025-12-16"
319,480,65,"20.00",0,20,"5.6","2025-12-16"
320,846,21,"18.00",3,20,"6.1","2025-12-16"
321,839,82,"3.75",5,5,"0.4","2025-12-16"
322,1906,11,"426.00",4,430,"43","2025-12-16"
323,846,11,"18.00",2,20,"7.3","2025-12-16"
324,2793,9,"1.00",0,1,"0.4","2025-12-16"
325,839,28,"16.25",3,17,"1.3","2025-12-16"
326,846,6,"58.00",2,60,"12.7","2025-12-16"
327,3302,83,"168.00",10,177,"5.3","2025-12-16"
328,2048,58,"54.00",9,60,"15.4","2025-12-16"
329,834,1,"45.00",2,47,"6.6","2025-12-16"
330,856,6,"40.00",0,40,"20.1","2025-12-16"
331,839,36,"4.75",1,5,"0.8","2025-12-16"
332,2048,43,"18.00",2,20,"14.8","2025-12-16"
333,846,20,"38.00",2,40,"7","2025-12-16"
334,834,2,"43.00",2,45,"5.5","2025-12-16"
335,2296,17,"26.00",0,26,"8.7","2025-12-16"
336,856,31,"18.00",2,20,"6.8","2025-12-16"
337,2892,29,"20.00",0,20,"10.4","2025-12-16"
338,2296,56,"20.00",0,20,"14.6","2025-12-16"
339,3354,84,"47.00",3,50,"2.3","2025-12-16"
340,2892,22,"20.00",0,20,"5.6","2025-12-16"
341,2892,6,"20.00",0,20,"9","2025-12-16"
342,1862,6,"50.00",2,52,"7.1","2025-12-16"
343,2016,58,"52.00",9,60,"7.9","2025-12-16"
344,857,2,"69.00",1,70,"14","2025-12-16"
345,2301,56,"19.00",1,20,"5.5","2025-12-16"
346,3059,9,"1.75",1,2,"0.4","2025-12-16"
347,2301,17,"19.00",1,20,"6.7","2025-12-16"
348,2259,17,"140.00",8,146,"16.2","2025-12-16"
349,2287,17,"14.00",3,17,"5.7","2025-12-16"
350,856,2,"76.00",0,76,"15.2","2025-12-16"
351,2340,22,"20.00",0,20,"13.8","2025-12-16"
352,2340,21,"20.00",0,20,"15.8","2025-12-16"
353,857,6,"55.00",0,55,"17.3","2025-12-16"
354,3356,47,"19.00",7,20,"4.6","2025-12-16"
355,833,1,"20.00",0,20,"4","2025-12-16"
356,3061,9,"2.75",1,3,"0.3","2025-12-16"
357,856,11,"20.00",0,20,"10.3","2025-12-16"
358,2340,6,"512.00",3,515,"27.9","2025-12-16"
359,844,24,"42.00",12,50,"1.3","2025-12-16"
360,2308,48,"18.00",2,20,"12.6","2025-12-16"
361,833,6,"20.00",0,20,"7.7","2025-12-16"
362,2259,43,"17.00",4,20,"9.4","2025-12-16"
363,2282,17,"22.00",0,22,"7.3","2025-12-16"
364,2287,56,"19.00",1,20,"5.5","2025-12-16"
365,2259,42,"9.00",1,10,"13.1","2025-12-16"
366,856,26,"1.00",0,1,"0.9","2025-12-16"
367,2295,17,"49.00",0,49,"16.3","2025-12-16"
368,856,72,"39.00",1,40,"16.3","2025-12-16"
369,2308,6,"39.00",2,40,"16.9","2025-12-16"
370,857,27,"7.00",4,10,"4.7","2025-12-16"
371,849,22,"19.00",1,20,"3.2","2025-12-16"
372,2296,6,"20.00",0,20,"14.3","2025-12-16"
373,856,29,"20.00",0,20,"15.2","2025-12-16"
374,3355,85,"57.00",3,60,"5.3","2025-12-16"
375,833,21,"20.00",0,20,"4","2025-12-16"
376,2295,6,"886.00",15,901,"24","2025-12-16"
377,2793,86,"46.00",2,48,"9.4","2025-12-16"
378,856,21,"17.00",3,20,"12.9","2025-12-16"
379,849,1,"22.00",0,22,"4.4","2025-12-16"
380,2295,56,"20.00",0,20,"17.4","2025-12-16"
381,2814,9,"1.00",0,1,"0.2","2025-12-16"
382,856,32,"38.00",3,40,"7.8","2025-12-16"
383,833,29,"20.00",0,20,"2.9","2025-12-16"
384,1569,6,"38.00",2,40,"12.7","2025-12-16"
385,2308,87,"10.00",0,10,"1.7","2025-12-16"
386,844,88,"68.00",2,70,"2.1","2025-12-16"
387,853,29,"20.00",0,20,"10.8","2025-12-16"
388,3337,33,"100.00",0,100,"16.1","2025-12-16"
389,853,2,"107.00",5,112,"8.8","2025-12-16"
390,930,90,"19.00",1,20,"6.5","2025-12-16"
391,2257,17,"23.00",0,23,"7.7","2025-12-16"
392,2877,11,"20.00",0,20,"4.4","2025-12-16"
393,2257,56,"20.00",0,20,"9.2","2025-12-16"
394,2308,28,"1.00",0,1,"0.9","2025-12-16"
395,930,91,"19.00",1,20,"3.9","2025-12-16"
396,2877,89,"15.00",0,15,"3.6","2025-12-16"
397,2888,11,"19.00",1,20,"2.8","2025-12-16"
398,1918,72,"19.00",1,20,"8.3","2025-12-16"
399,2885,11,"19.00",1,20,"2.9","2025-12-16"
400,930,92,"17.00",3,20,"2.2","2025-12-16"
401,853,6,"303.00",7,310,"24.3","2025-12-16"
402,2282,56,"19.00",1,20,"5","2025-12-16"
403,858,6,"59.00",1,60,"21.1","2025-12-16"
404,2885,89,"15.00",0,15,"5.2","2025-12-16"
405,856,75,"20.00",0,20,"15.4","2025-12-16"
406,2308,69,"28.00",2,30,"5.2","2025-12-16"
407,930,45,"20.00",0,20,"4","2025-12-16"
408,2285,17,"9.00",1,10,"3.3","2025-12-16"
409,2892,89,"15.00",0,15,"3.2","2025-12-16"
410,2285,56,"20.00",0,20,"8.1","2025-12-16"
411,2892,11,"20.00",0,20,"7.3","2025-12-16"
412,853,20,"20.00",0,20,"20","2025-12-16"
413,3347,72,"5.00",0,5,"16.4","2025-12-16"
414,3347,20,"5.00",0,5,"16.4","2025-12-16"
415,915,91,"39.00",1,40,"3.7","2025-12-16"
416,847,2,"78.00",8,86,"8.6","2025-12-16"
417,2466,18,"16.00",4,20,"2.6","2025-12-16"
418,2466,17,"30.00",0,30,"10","2025-12-16"
419,2466,56,"16.00",7,20,"4.4","2025-12-16"
420,3053,9,"0.75",1,1,"0.2","2025-12-16"
421,844,36,"0.00",1,1,"0.8","2025-12-17"
422,844,34,"76.00",4,80,"4.2","2025-12-17"
423,857,6,"168.00",6,174,"21.1","2025-12-17"
424,2284,56,"20.00",0,20,"8.8","2025-12-17"
425,2284,57,"30.00",0,30,"11.2","2025-12-17"
426,2284,17,"40.00",0,40,"13.3","2025-12-17"
427,930,91,"100.00",0,100,"4.8","2025-12-17"
428,2281,57,"27.00",6,30,"9","2025-12-17"
429,2295,57,"30.00",0,30,"10.8","2025-12-17"
430,2295,6,"951.00",27,977,"18.3","2025-12-17"
431,2029,58,"96.00",4,100,"14.1","2025-12-17"
432,2029,41,"378.00",6,384,"24.7","2025-12-17"
433,3157,6,"40.00",0,40,"15","2025-12-17"
434,915,67,"122.00",0,122,"24.4","2025-12-17"
435,842,36,"1.00",0,1,"1.1","2025-12-17"
436,838,30,"18.00",2,20,"14.6","2025-12-17"
437,856,1,"253.00",8,260,"17.1","2025-12-17"
438,852,1,"18.00",2,20,"4.7","2025-12-17"
439,833,2,"18.00",0,18,"3.6","2025-12-17"
440,858,20,"20.00",0,20,"4.3","2025-12-17"
441,849,1,"19.00",1,20,"3.5","2025-12-17"
442,915,92,"48.00",14,60,"1.8","2025-12-17"
443,843,6,"58.00",0,58,"11.3","2025-12-17"
444,915,76,"40.00",0,40,"14.4","2025-12-17"
445,845,6,"112.00",3,115,"7.1","2025-12-17"
446,850,36,"1.00",0,1,"0.8","2025-12-17"
447,838,39,"103.00",1,104,"13.7","2025-12-17"
448,856,6,"43.00",0,43,"14.2","2025-12-17"
449,851,36,"1.00",0,1,"0.5","2025-12-17"
450,2322,57,"29.00",1,30,"7.3","2025-12-17"
451,2322,93,"38.00",2,40,"14.8","2025-12-17"
452,850,6,"439.00",3,442,"17.5","2025-12-17"
453,851,6,"60.00",0,60,"9.4","2025-12-17"
454,2285,57,"29.00",1,30,"4.4","2025-12-17"
455,845,1,"20.00",0,20,"3.3","2025-12-17"
456,850,28,"9.00",17,13,"1.4","2025-12-17"
457,3362,1,"20.00",0,20,"5.6","2025-12-17"
458,436,9,"3.25",7,5,"1.2","2025-12-17"
459,839,36,"1.00",0,1,"0.6","2025-12-17"
460,2308,57,"27.00",4,30,"4.1","2025-12-17"
461,2811,6,"20.00",0,20,"27.3","2025-12-17"
462,910,67,"108.00",1,109,"21.8","2025-12-17"
463,3050,94,"40.00",0,40,"12.2","2025-12-17"
464,2322,6,"20.00",0,20,"11.6","2025-12-17"
465,3050,73,"1.75",1,2,"0.6","2025-12-17"
466,837,36,"1.00",0,1,"0.4","2025-12-17"
467,2322,33,"236.00",4,240,"5.2","2025-12-17"
468,2870,11,"18.00",2,20,"3.1","2025-12-17"
469,3050,86,"49.00",2,51,"12.6","2025-12-17"
470,837,4,"53.00",2,55,"7.2","2025-12-17"
471,833,6,"258.00",2,260,"28.8","2025-12-17"
472,2870,89,"15.00",0,15,"4.6","2025-12-17"
473,2292,41,"111.00",0,111,"20.8","2025-12-17"
474,2259,56,"17.00",3,20,"12.7","2025-12-17"
475,2888,89,"15.00",0,15,"1.1","2025-12-17"
476,2259,57,"28.00",3,30,"19.6","2025-12-17"
477,844,24,"149.00",9,157,"1.9","2025-12-17"
478,858,36,"7.50",2,8,"0.3","2025-12-17"
479,2004,95,"18.00",3,20,"9.4","2025-12-17"
480,2004,65,"19.00",1,20,"9.9","2025-12-17"
481,2287,57,"29.00",1,30,"3.1","2025-12-17"
482,846,6,"335.00",5,340,"11.5","2025-12-17"
483,844,4,"307.00",14,320,"7.1","2025-12-17"
484,837,44,"0.75",1,1,"0.3","2025-12-17"
485,2851,28,"51.75",37,61,"2","2025-12-17"
486,2785,9,"1.00",0,1,"0.4","2025-12-17"
487,837,6,"104.00",1,105,"19.4","2025-12-17"
488,855,36,"0.00",4,1,"0.6","2025-12-17"
489,2259,6,"40.00",0,40,"32.5","2025-12-17"
490,2828,9,"0.00",14,3,"0.3","2025-12-17"
491,844,28,"24.25",43,35,"0.8","2025-12-17"
