"id","taskInfo"
83,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""7"",""9""],false,""C79""]"
84,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""6""],false,""C79""]"
85,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""8""],false,""C79""]"
86,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C64"":[],""C65"":[],""C66"":[""4kl""],""C68"":[],""C69"":[],""C70"":[],""C72"":[]},""C73"",1]"
87,"[""math"",""C1"",""C15"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
88,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[],""C86"":[],""C87"":[],""C66"":[""2kl""],""C67"":[]},""C73"",1]"
89,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[]},""C73"",1]"
90,"[""math"",""C3"",""C12"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
91,"[""math"",""C1"",""C15"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
92,"[""math"",""C1"",""C15"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
93,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""10""],false,""C79""]"
94,"[""math"",""C6"",""C18"",""C37"",""C42"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
95,"[""math"",""C5"",""C19"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
96,"[""lang"",""C49"",""C51"",""C80"",""C84""]"
97,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
98,"[""math"",""C1"",""C8"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
99,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""2""],false,""C79""]"
100,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""2""],false,""C79""]"
101,"[""math"",""C3"",""C11"",""C38"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
102,"[""math"",""C1"",""C14"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
103,"[""math"",""C3"",""C17"",""C38"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
104,"[""math"",""C1"",""C12"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
105,"[""math"",""C5"",""C21"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
106,"[""math"",""C4"",""C20"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
107,"[""math"",""C1"",""C13"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
108,"[""math"",""C2"",""C13"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
110,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""10""],false,""C79""]"
111,"[""math"",""C4"",""C18"",""C37"",""C42"",""C45"",""C47"",[""2"",""5""],false,""C79""]"
112,"[""math"",""C4"",""C22"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
113,"[""math"",""C1"",""C13"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
114,"[""math"",""C4"",""C25"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
115,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""5""],false,""C79""]"
116,"[""math"",""C1"",""C11"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
117,"[""math"",""C7"",""C34"",""C37"",""C42"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
118,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""5"",""5""],false,""C79""]"
119,"[""math"",""C3"",""C13"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
120,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""2""],false,""C79""]"
121,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""7"",""8""],false,""C79""]"
122,"[""math"",""C4"",""C18"",""C37"",""C42"",""C45"",""C47"",[""1"",""10""],false,""C79""]"
123,"[""math"",""C1"",""C15"",""C38"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
124,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[]},""C73"",3]"
125,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""9"",""9""],false,""C79""]"
126,"[""math"",""C5"",""C18"",""C37"",""C42"",""C45"",""C47"",[""1"",""5""],false,""C79""]"
127,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
128,"[""math"",""C2"",""C12"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
129,"[""math"",""C1"",""C8"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
130,"[""math"",""C2"",""C13"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
132,"[""lang"",""C83"",""C50"",""C75"",{""C86"":[]},""C73"",3]"
133,"[""math"",""C5"",""C18"",""C37"",""C42"",""C46"",""C47"",[""3"",""5""],false,""C79""]"
135,"[""math"",""C1"",""C14"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
137,"[""math"",""C3"",""C14"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
141,"[""math"",""C1"",""C13"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
142,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""8""],false,""C79""]"
143,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""5"",""9""],false,""C79""]"
144,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C65"":[],""C66"":[""4kl""],""C64"":[],""C71"":[],""C72"":[],""C69"":[],""C70"":[]},""C73"",1]"
145,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""6""],false,""C79""]"
146,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""9""],false,""C79""]"
147,"[""math"",""C2"",""C12"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
148,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""10""],false,""C79""]"
149,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""9""],false,""C79""]"
150,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""6""],false,""C79""]"
151,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""7""],false,""C79""]"
152,"[""math"",""C3"",""C14"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
153,"[""lang"",""C83"",""C50"",""C75"",{""C67"":[]},""C73"",1]"
154,"[""math"",""C3"",""C8"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
155,"[""lang"",""C83"",""C50"",""C75"",{""C66"":[""2kl""],""C67"":[]},""C73"",3]"
156,"[""math"",""C1"",""C10"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
157,"[""math"",""C4"",""C19"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
158,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""6""],false,""C79""]"
159,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""7""],false,""C79""]"
160,"[""math"",""C3"",""C11"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
161,"[""math"",""C1"",""C14"",""C38"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
162,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""8""],false,""C79""]"
163,"[""math"",""C3"",""C15"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
164,"[""math"",""C2"",""C13"",""C37"",""C42"",""C44"",""C47"",[""1"",""1""],false,""C79""]"
165,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[],""C66"":[""2kl""],""C67"":[]},""C73"",3]"
166,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""9""],false,""C79""]"
167,"[""lang"",""C83"",""C50"",""C75"",{""C66"":[""2kl""],""C67"":[]},""C73"",1]"
168,"[""lang"",""C49"",""C52"",""C81"",""C82"",""C75"",""C60""]"
169,"[""math"",""C1"",""C11"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
170,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""10""],false,""C79""]"
171,"[""math"",""C7"",""C34"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
172,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""4""],false,""C79""]"
173,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""4"",""9""],false,""C79""]"
174,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""5""],false,""C79""]"
175,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""3"",""9""],false,""C79""]"
176,"[""math"",""C3"",""C13"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
177,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""9"",""9""],false,""C79""]"
178,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""8"",""9""],false,""C79""]"
179,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""8"",""8""],false,""C79""]"
180,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""7"",""9""],false,""C79""]"
181,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""5"",""5""],false,""C79""]"
182,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,10],false,""C79""]"
183,"[""math"",""C1"",""C8"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
184,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,3],false,""C79""]"
185,"[""math"",""C3"",""C10"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
186,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[9,9],false,""C79""]"
187,"[""math"",""C1"",""C10"",""C37"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
188,"[""math"",""C1"",""C10"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
189,"[""math"",""C3"",""C17"",""C38"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
190,"[""math"",""C1"",""C9"",""C38"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
191,"[""math"",""C1"",""C11"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
192,"[""math"",""C3"",""C11"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
193,"[""math"",""C3"",""C10"",""C37"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
194,"[""math"",""C2"",""C10"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
195,"[""math"",""C3"",""C8"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
196,"[""math"",""C3"",""C8"",""C37"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
197,"[""lang"",""C49"",""C52"",""C80"",""C82"",""C75"",""C59""]"
198,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,10],false,""C79""]"
199,"[""math"",""C1"",""C8"",""C37"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
200,"[""math"",""C1"",""C13"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
201,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,10],false,""C79""]"
202,"[""math"",""C3"",""C17"",""C38"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
203,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[5,5],false,""C79""]"
204,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,10],false,""C79""]"
205,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,5],false,""C79""]"
206,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,2],false,""C79""]"
207,"[""math"",""C7"",""C31"",""C37"",""C41"",""C45"",""C47"",[1,1],false,""C79""]"
208,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,3],false,""C79""]"
209,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,1],false,""C79""]"
210,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,4],false,""C79""]"
211,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,9],false,""C79""]"
212,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,5],false,""C79""]"
213,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[9,10],false,""C79""]"
214,"[""math"",""C6"",""C19"",""C37"",""C41"",""C45"",""C48"",[1,1],false,""C79""]"
215,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,9],false,""C79""]"
216,"[""math"",""C5"",""C18"",""C37"",""C42"",""C46"",""C47"",[""2"",""9""],false,""C79""]"
217,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
218,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,5],false,""C79""]"
219,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[10,10],true,""C79""]"
220,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,1],true,""C79""]"
221,"[""math"",""C3"",""C14"",""C38"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
222,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[6,7],false,""C79""]"
223,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[6,7],false,""C79""]"
224,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[6,7],false,""C79""]"
225,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,10],false,""C79""]"
226,"[""math"",""C7"",""C34"",""C37"",""C41"",""C45"",""C48"",[1,1],false,""C79""]"
227,"[""math"",""C2"",""C11"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
228,"[""math"",""C3"",""C17"",""C38"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
229,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,5],false,""C79""]"
230,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,4],false,""C79""]"
231,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[6,6],false,""C79""]"
232,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[6,9],false,""C79""]"
233,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,5],false,""C79""]"
234,"[""math"",""C3"",""C11"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
235,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,5],false,""C79""]"
236,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[1,1],false,""C79""]"
237,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[3,9],false,""C79""]"
238,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,5],false,""C79""]"
239,"[""math"",""C3"",""C13"",""C38"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
240,"[""math"",""C3"",""C13"",""C37"",""C42"",""C43"",""C47"",[1,1],false,""C79""]"
241,"[""math"",""C7"",""C35"",""C37"",""C41"",""C45"",""C48"",[1,1],false,""C79""]"
242,"[""math"",""C7"",""C36"",""C37"",""C42"",""C45"",""C47"",[1,1],false,""C79""]"
243,"[""math"",""C2"",""C13"",""C38"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
244,"[""math"",""C5"",""C30"",""C37"",""C41"",""C45"",""C48"",[1,1],false,""C79""]"
245,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C64"":[],""C65"":[],""C66"":[""4kl""],""C69"":[],""C70"":[],""C71"":[],""C72"":[]},""C74"",1]"
246,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C64"":[],""C65"":[],""C66"":[""4kl""],""C69"":[],""C70"":[],""C71"":[],""C72"":[]},""C73"",1]"
247,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C65"":[]},""C73"",1]"
248,"[""math"",""C1"",""C12"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
249,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,8],false,""C79""]"
250,"[""math"",""C5"",""C18"",""C37"",""C42"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
251,"[""math"",""C1"",""C8"",""C38"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
252,"[""math"",""C3"",""C12"",""C37"",""C41"",""C43"",""C47"",[1,1],false,""C79""]"
253,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[2,3],false,""C79""]"
254,"[""math"",""C1"",""C12"",""C37"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
255,"[""math"",""C1"",""C14"",""C37"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
256,"[""math"",""C1"",""C15"",""C37"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
257,"[""math"",""C2"",""C13"",""C37"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
258,"[""math"",""C1"",""C13"",""C37"",""C41"",""C43"",""C48"",[1,1],false,""C79""]"
259,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C65"":[],""C66"":[""4kl""],""C64"":[],""C71"":[],""C72"":[],""C69"":[],""C70"":[]},""C74"",1]"
260,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[],""C86"":[],""C87"":[]},""C73"",1]"
261,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[8,8],false,""C79""]"
